,country_name,year_amended,doc_len,country_text_id,dem_year,electoral_democracy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,freedom_expression,freedom_association,suffrage,free_fair_elections,rule_of_law,judicial_constraints,legislative_constraints,regime_type,accountability,presidentialism,civil_liberties,political_exclusion,political_corruption,public_sector_corruption,gender_equality_index,fh_political_rights,fh_civil_liberties,fh_total_score,fh_status
128,Oman,2011,47640,OMN,2024.0,0.175,0.139,0.125,0.068,0.174,0.151,0.049,1.0,0.689,0.583,0.41,0.316,0.0,-0.224,0.595,0.444,,0.253,0.348,0.364,6.0,18.0,24.0,NF
129,Pakistan,2012,349926,PAK,2024.0,0.313,0.193,0.197,0.209,0.114,0.559,0.569,1.0,0.172,0.33,0.586,0.466,1.0,0.184,0.416,0.456,,0.818,0.7,0.506,14.0,21.0,35.0,PF
130,Palau,1992,49072,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Panama,2004,167385,PAN,2024.0,0.728,0.578,0.426,0.562,0.471,0.804,0.874,1.0,0.847,0.853,0.694,0.808,2.0,1.235,0.225,0.888,,0.484,0.284,0.775,35.0,48.0,83.0,F
132,Papua New Guinea,1991,339782,PNG,2024.0,0.462,0.38,0.277,0.246,0.247,0.818,0.879,1.0,0.27,0.7,0.863,0.79,1.0,0.862,0.13,0.804,,0.698,0.907,0.48,22.0,39.0,61.0,PF
133,Paraguay,2011,178431,PRY,2024.0,0.581,0.39,0.343,0.315,0.252,0.751,0.8,1.0,0.633,0.703,0.721,0.454,2.0,0.749,0.284,0.792,,0.801,0.674,0.694,26.0,37.0,63.0,PF
134,Peoples Republic of Korea,1998,48762,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Peru,2009,119288,PER,2024.0,0.642,0.501,0.43,0.36,0.38,0.739,0.745,1.0,0.859,0.757,0.782,0.777,2.0,0.947,0.197,0.791,,0.619,0.226,0.788,27.0,39.0,66.0,PF
136,Philippines,1987,140102,PHL,2024.0,0.411,0.301,0.274,0.259,0.175,0.676,0.696,1.0,0.336,0.56,0.649,0.736,1.0,0.575,0.331,0.561,,0.837,0.65,0.803,25.0,33.0,58.0,PF
137,Poland,1997,126303,POL,2024.0,0.73,0.613,0.492,0.605,0.635,0.911,0.859,1.0,0.76,0.901,0.728,0.906,2.0,1.221,0.188,0.916,,0.106,0.118,0.874,33.0,47.0,80.0,F
138,Portugal,2005,232710,PRT,2024.0,0.836,0.754,0.561,0.735,0.689,0.899,0.893,1.0,0.943,0.889,0.947,0.919,2.0,1.51,0.05,0.904,,0.166,0.115,0.862,39.0,57.0,96.0,F
139,Qatar,2003,43237,QAT,2024.0,0.087,0.095,0.039,0.129,0.108,0.053,0.039,0.35,0.411,0.44,0.502,0.071,0.0,-0.799,0.66,0.356,,0.32,0.401,0.386,7.0,18.0,25.0,NF
140,Republic of Korea,1987,58134,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Romania,2003,93431,ROU,2024.0,0.628,0.449,0.422,0.28,0.442,0.736,0.783,1.0,0.777,0.825,0.661,0.555,2.0,0.729,0.354,0.871,,0.389,0.319,0.861,35.0,48.0,83.0,F
142,Russia,2008,88793,RUS,2024.0,0.171,0.057,0.121,0.05,0.129,0.08,0.125,1.0,0.142,0.303,0.046,0.073,1.0,-0.973,0.942,0.26,,0.795,0.781,0.535,4.0,9.0,13.0,NF
143,Rwanda,2010,113015,RWA,2024.0,0.201,0.091,0.133,0.186,0.164,0.154,0.167,1.0,0.278,0.238,0.179,0.275,1.0,-0.444,0.781,0.176,,0.418,0.356,0.613,8.0,15.0,23.0,NF
144,Samoa,2010,107123,,,,,,,,,,,,,,,,,,,,,,,,,,
145,Sao Tome and Principe,1990,50668,STP,2024.0,0.632,0.519,0.392,0.416,0.448,0.793,0.768,1.0,0.753,0.911,0.725,0.824,2.0,1.005,0.227,0.892,,0.285,0.369,0.844,35.0,49.0,84.0,F
146,Saudi Arabia,2005,42463,SAU,2024.0,0.015,0.047,0.024,0.061,0.113,0.087,0.029,0.0,0.0,0.204,0.285,0.045,0.0,-1.238,0.793,0.172,,0.326,0.428,0.361,1.0,7.0,8.0,NF
147,Senegal,2009,64805,SEN,2024.0,0.605,0.461,0.387,0.529,0.443,0.82,0.73,1.0,0.698,0.832,0.674,0.722,2.0,1.009,0.262,0.802,,0.404,0.536,0.856,28.0,39.0,67.0,PF
148,Serbia,2006,128606,SRB,2024.0,0.315,0.225,0.223,0.21,0.283,0.438,0.655,1.0,0.207,0.863,0.433,0.354,1.0,0.161,0.538,0.775,,0.76,0.641,0.887,18.0,39.0,57.0,PF
149,Seychelles,2011,231635,SYC,2024.0,0.737,0.652,0.322,0.679,0.612,0.822,0.832,1.0,0.888,0.964,0.952,0.8,3.0,1.303,0.051,0.904,,0.047,0.093,0.887,34.0,45.0,79.0,F
150,Sierra Leone,2008,269006,SLE,2024.0,0.471,0.363,0.307,0.433,0.329,0.823,0.837,1.0,0.319,0.832,0.65,0.706,1.0,0.757,0.348,0.824,,0.571,0.698,0.833,24.0,36.0,60.0,PF
151,Singapore,2010,264179,SGP,2024.0,0.418,0.348,0.116,0.344,0.36,0.348,0.584,1.0,0.806,0.903,0.846,0.561,1.0,0.355,0.225,0.714,,0.032,0.009,0.78,19.0,29.0,48.0,PF
152,Slovakia,2001,114079,SVK,2024.0,0.746,0.59,0.521,0.37,0.582,0.807,0.838,1.0,0.93,0.877,0.838,0.607,2.0,1.133,0.141,0.861,,0.278,0.18,0.879,37.0,53.0,90.0,F
153,Slovenia,2006,81483,SVN,2024.0,0.725,0.63,0.549,0.618,0.635,0.752,0.861,1.0,0.916,0.944,0.779,0.917,2.0,1.256,0.166,0.889,,0.057,0.064,0.939,39.0,57.0,96.0,F
154,Socialist Republic of Vietnam,2001,78342,,,,,,,,,,,,,,,,,,,,,,,,,,
155,Solomon Islands,2009,201422,SLB,2024.0,0.688,0.536,0.424,0.39,0.433,0.84,0.874,1.0,0.73,0.832,0.826,0.648,2.0,1.061,0.192,0.857,,0.602,0.608,0.675,28.0,47.0,75.0,F
156,Somalia,2012,135564,SOM,2024.0,0.165,0.127,0.092,0.198,0.101,0.619,0.444,0.002,0.0,0.372,0.208,0.609,0.0,0.172,0.74,0.424,,0.87,0.9,0.341,2.0,6.0,8.0,NF
157,South Africa,2012,288626,ZAF,2024.0,0.734,0.648,0.463,0.647,0.512,0.835,0.894,1.0,0.812,0.865,0.918,0.926,2.0,1.375,0.066,0.867,,0.517,0.751,0.839,33.0,46.0,79.0,F
158,South Sudan,2011,175892,SSD,2024.0,0.154,0.071,0.09,0.039,0.05,0.182,0.29,1.0,0.0,0.157,0.208,0.231,0.0,-0.585,0.807,0.243,,0.864,0.841,0.512,-3.0,4.0,1.0,NF
159,Spain,2011,116082,ESP,2024.0,0.826,0.743,0.574,0.694,0.694,0.85,0.915,1.0,0.956,0.972,0.937,0.833,3.0,1.577,0.051,0.947,,0.098,0.033,0.926,37.0,53.0,90.0,F
160,Sri Lanka,2010,363222,LKA,2024.0,0.677,0.497,0.439,0.451,0.481,0.857,0.747,1.0,0.812,0.758,0.831,0.543,2.0,1.093,0.172,0.794,,0.456,0.361,0.69,22.0,32.0,54.0,PF
161,St Kitts and Nevis,1983,276692,,,,,,,,,,,,,,,,,,,,,,,,,,
162,St Lucia,1978,234087,,,,,,,,,,,,,,,,,,,,,,,,,,
163,St Vincent and the Grenadines,1979,194874,,,,,,,,,,,,,,,,,,,,,,,,,,
164,Sudan,2005,176612,SDN,2024.0,0.137,0.03,0.07,0.033,0.061,0.268,0.321,1.0,0.0,0.081,0.122,,0.0,-0.565,0.907,0.186,,0.839,0.743,0.202,-3.0,9.0,6.0,NF
165,Surinam,1992,79981,,,,,,,,,,,,,,,,,,,,,,,,,,
166,Swaziland,2005,295246,SWZ,2024.0,0.129,0.101,0.11,0.064,0.076,0.113,0.023,1.0,0.376,0.252,0.368,0.38,0.0,-0.611,0.664,0.205,,0.54,0.864,0.385,1.0,16.0,17.0,NF
167,Sweden,2012,367078,SWE,2024.0,0.881,0.846,0.629,0.809,0.794,0.946,0.921,1.0,0.945,0.983,0.976,0.989,3.0,1.815,0.017,0.961,,0.009,0.019,0.924,40.0,59.0,99.0,F
168,Switzerland,2002,111630,CHE,2024.0,0.882,0.843,0.785,0.852,0.82,0.967,0.917,1.0,0.942,0.982,0.982,0.956,3.0,1.826,0.019,0.951,,0.023,0.007,0.939,39.0,57.0,96.0,F
169,Syria,2012,51756,SYR,2024.0,0.143,0.054,0.065,0.042,0.077,0.07,0.094,,0.0,0.141,0.142,0.166,0.0,,0.876,0.134,,0.797,0.754,0.23,-3.0,4.0,1.0,NF
170,Taiwan,2005,72496,TWN,2024.0,0.804,0.707,0.626,0.693,0.699,0.851,0.89,1.0,0.94,0.962,0.844,0.857,3.0,1.436,0.131,0.931,,0.22,0.175,0.9,38.0,56.0,94.0,F
171,Tajikistan,2003,51680,TJK,2024.0,0.168,0.041,0.055,0.047,0.07,0.087,0.137,1.0,0.1,0.116,0.039,0.098,1.0,-1.007,0.96,0.174,,0.882,0.867,0.446,0.0,5.0,5.0,NF
172,Tanzania,1995,206780,TZA,2024.0,0.413,0.357,0.266,0.303,0.339,0.683,0.695,1.0,0.362,0.814,0.808,0.804,1.0,0.675,0.164,0.78,,0.281,0.164,0.845,12.0,24.0,36.0,PF
173,Thailand,2007,276741,THA,2024.0,0.41,0.306,0.193,0.223,0.237,0.582,0.65,0.994,0.429,0.415,0.725,0.862,1.0,0.553,0.273,0.499,,0.635,0.522,0.748,12.0,24.0,36.0,PF
174,Togo,2007,66419,TGO,2024.0,0.35,0.167,0.207,0.293,0.256,0.576,0.57,1.0,0.283,0.546,0.194,0.266,1.0,0.074,0.772,0.577,,0.773,0.704,0.706,15.0,27.0,42.0,PF
175,Tonga,1988,54512,,,,,,,,,,,,,,,,,,,,,,,,,,
176,Trinidad and Tobago,2007,192411,TTO,2024.0,0.773,0.653,0.494,0.674,0.65,0.886,0.884,1.0,0.847,0.875,0.827,0.849,3.0,1.37,0.125,0.89,,0.1,0.124,0.879,33.0,49.0,82.0,F
177,Tunisia,2014,84873,TUN,2024.0,0.422,0.271,0.254,0.345,0.339,0.751,0.48,1.0,0.481,0.747,0.377,0.507,1.0,0.272,0.553,0.698,,0.41,0.542,0.774,16.0,35.0,51.0,PF
178,Turkey,2002,189628,,,,,,,,,,,,,,,,,,,,,,,,,,
179,Turkmenistan,2008,39971,TKM,2024.0,0.149,0.034,0.033,0.024,0.088,0.042,0.063,1.0,0.071,0.104,0.049,0.061,0.0,-1.264,0.947,0.114,,0.891,0.915,0.434,0.0,2.0,2.0,NF
180,Tuvalu,1986,209499,,,,,,,,,,,,,,,,,,,,,,,,,,
181,Uganda,2005,313992,UGA,2024.0,0.261,0.168,0.161,0.237,0.171,0.443,0.416,1.0,0.129,0.47,0.266,0.59,1.0,-0.076,0.669,0.385,,0.844,0.808,0.707,10.0,24.0,34.0,NF
182,Ukraine,2004,122814,UKR,2024.0,0.387,0.23,0.257,0.325,0.29,0.411,0.559,1.0,0.602,0.515,0.322,0.613,1.0,0.466,0.536,0.552,,0.633,0.498,0.873,21.0,28.0,49.0,PF
183,United Arab Emirates,2004,71113,ARE,2024.0,0.104,0.077,0.031,0.082,0.126,0.062,0.04,0.36,0.543,0.495,0.141,0.138,0.0,-0.661,0.843,0.346,,0.105,0.116,0.6,5.0,13.0,18.0,NF
184,United States of America,1992,45800,USA,2024.0,0.843,0.751,0.602,0.745,0.612,0.904,0.943,1.0,0.9,0.931,0.902,0.863,3.0,1.611,0.082,0.927,,0.051,0.029,0.868,33.0,50.0,83.0,F
185,Uruguay,2004,191542,URY,2024.0,0.846,0.768,0.702,0.716,0.681,0.913,0.89,1.0,0.949,0.928,0.951,0.884,3.0,1.521,0.053,0.926,,0.051,0.116,0.871,40.0,56.0,96.0,F
186,Uzbekistan,1992,51676,UZB,2024.0,0.214,0.074,0.08,0.149,0.15,0.222,0.146,1.0,0.288,0.368,0.08,0.051,0.0,-0.563,0.915,0.368,,0.835,0.801,0.631,2.0,10.0,12.0,NF
187,Vanuatu,1983,52183,VUT,2024.0,0.8,0.686,0.514,0.61,0.623,0.884,0.888,1.0,0.897,0.891,0.911,0.792,2.0,1.403,0.093,0.892,,0.279,0.195,0.694,32.0,50.0,82.0,F
188,Venezuela,2009,240449,VEN,2024.0,0.196,0.046,0.154,0.025,0.094,0.211,0.253,1.0,0.069,0.207,0.016,0.04,1.0,-0.906,0.976,0.335,,0.97,0.985,0.759,1.0,14.0,15.0,NF
189,Yemen,2001,68130,YEM,2024.0,0.126,0.047,0.071,0.045,0.033,0.243,0.257,1.0,0.0,0.105,0.162,0.12,0.0,-0.572,0.839,0.217,,0.91,0.828,0.171,1.0,9.0,10.0,NF
190,Zambia,2009,181924,ZMB,2024.0,0.512,0.39,0.355,0.429,0.33,0.784,0.785,1.0,0.471,0.722,0.719,0.757,2.0,0.874,0.233,0.826,,0.351,0.556,0.81,23.0,31.0,54.0,PF
191,Zimbabwe,2013,348577,ZWE,2024.0,0.272,0.156,0.204,0.208,0.142,0.44,0.438,1.0,0.168,0.43,0.214,0.528,1.0,-0.101,0.727,0.38,,0.824,0.857,0.715,10.0,17.0,27.0,NF
