,country_name,year_amended,doc_len,country_text_id,dem_year,electoral_democracy,liberal_democracy,participatory_democracy,deliberative_democracy,egalitarian_democracy,freedom_expression,freedom_association,suffrage,free_fair_elections,rule_of_law,judicial_constraints,legislative_constraints,regime_type,accountability,presidentialism,civil_liberties,political_exclusion,political_corruption,public_sector_corruption,gender_equality_index,fh_political_rights,fh_civil_liberties,fh_total_score,fh_status
30,Canada,2011,127965,CAN,2024.0,0.841,0.744,0.583,0.655,0.63,0.941,0.867,1.0,0.937,0.911,0.918,0.845,2.0,1.5,0.073,0.902,,0.03,0.009,0.868,39.0,58.0,97.0,F
31,Cape Verde,1992,191071,CPV,2024.0,0.752,0.642,0.457,0.555,0.568,0.858,0.892,1.0,0.836,0.885,0.883,0.845,2.0,1.326,0.112,0.912,,0.261,0.325,0.838,,,,
32,Central African Republic,2010,67780,CAF,2024.0,0.299,0.097,0.132,0.137,0.128,0.589,0.458,1.0,0.163,0.231,0.134,0.158,1.0,-0.194,0.832,0.437,,0.851,0.872,0.581,1.0,4.0,5.0,NF
33,Chad,2005,72620,TCD,2024.0,0.202,0.054,0.119,0.112,0.074,0.471,0.402,1.0,0.055,0.189,0.009,0.127,1.0,-0.451,0.976,0.303,,0.952,0.968,0.596,1.0,14.0,15.0,NF
34,Chile,2012,179529,CHL,2024.0,0.845,0.786,0.595,0.773,0.625,0.928,0.868,1.0,0.956,0.94,0.941,0.976,3.0,1.666,0.031,0.931,,0.075,0.103,0.909,38.0,56.0,94.0,F
35,China,2004,73882,CHN,2024.0,0.073,0.037,0.031,0.065,0.08,0.043,0.036,1.0,0.0,0.231,0.027,0.098,0.0,-1.375,0.931,0.175,,0.55,0.498,0.587,-2.0,11.0,9.0,NF
36,Colombia,2005,301158,COL,2024.0,0.698,0.554,0.477,0.487,0.425,0.84,0.898,1.0,0.756,0.688,0.846,0.845,2.0,1.235,0.112,0.737,,0.396,0.322,0.803,31.0,39.0,70.0,F
37,Comoros,2009,38632,COM,2024.0,0.276,0.122,0.195,0.127,0.223,0.464,0.512,1.0,0.142,0.386,0.201,0.216,1.0,-0.247,0.786,0.469,,0.809,0.778,0.555,16.0,26.0,42.0,PF
38,Congo,2001,69926,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Costa Rica,2011,108640,CRI,2024.0,0.862,0.809,0.608,0.787,0.762,0.915,0.922,1.0,0.944,0.962,0.95,0.956,3.0,1.733,0.033,0.931,,0.206,0.191,0.92,38.0,53.0,91.0,F
40,Cote DIvoire,2009,49874,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Croatia,2001,77749,HRV,2024.0,0.71,0.607,0.478,0.503,0.556,0.766,0.82,1.0,0.907,0.9,0.828,0.871,2.0,1.167,0.133,0.897,,0.254,0.288,0.917,34.0,49.0,83.0,F
42,Cuba,2002,82260,CUB,2024.0,0.178,0.056,0.055,0.098,0.238,0.09,0.019,1.0,0.296,0.223,0.09,0.084,0.0,-1.067,0.901,0.3,,0.631,0.873,0.706,1.0,11.0,12.0,NF
43,Cyprus,2013,215971,CYP,2024.0,0.777,0.653,0.492,0.644,0.687,0.823,0.894,1.0,0.909,0.935,0.826,0.77,3.0,1.268,0.131,0.891,,0.161,0.207,0.846,38.0,54.0,92.0,F
44,Czech Republic,2002,90005,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Democratic Republic of the Congo,2011,129792,COD,2024.0,0.308,0.123,0.201,0.223,0.161,0.578,0.506,1.0,0.18,0.239,0.224,0.278,1.0,-0.03,0.747,0.399,,0.905,0.875,0.558,,,,
46,Denmark,1953,36816,DNK,2024.0,0.917,0.885,0.704,0.871,0.88,0.985,0.929,1.0,0.961,0.986,0.984,0.968,3.0,1.974,0.013,0.96,,0.004,0.005,0.959,40.0,57.0,97.0,F
47,Djibouti,2010,40215,DJI,2024.0,0.25,0.118,0.144,0.144,0.195,0.336,0.392,1.0,0.167,0.448,0.268,0.141,1.0,-0.242,0.748,0.404,,0.686,0.715,0.588,5.0,19.0,24.0,NF
48,Dominica,1984,211553,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Dominican Republic,2010,187809,DOM,2024.0,0.71,0.495,0.464,0.633,0.399,0.899,0.878,1.0,0.72,0.763,0.749,0.452,2.0,1.144,0.225,0.874,,0.562,0.654,0.825,27.0,41.0,68.0,PF
50,East Timor,2002,99395,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Ecuador,2008,370379,ECU,2024.0,0.641,0.443,0.491,0.348,0.305,0.742,0.774,1.0,0.816,0.692,0.485,0.781,2.0,0.952,0.383,0.756,,0.655,0.646,0.791,29.0,38.0,67.0,PF
52,Egypt,2014,132906,EGY,2024.0,0.186,0.123,0.079,0.105,0.107,0.178,0.138,1.0,0.147,0.316,0.605,0.172,1.0,-0.573,0.47,0.243,,0.729,0.792,0.566,6.0,12.0,18.0,NF
53,El Salvador,2003,147594,SLV,2024.0,0.335,0.09,0.199,0.138,0.132,0.392,0.666,1.0,0.314,0.299,0.021,0.052,1.0,-0.23,0.963,0.484,,0.684,0.611,0.602,21.0,32.0,53.0,PF
54,Equatorial Guinea,1995,35600,GNQ,2024.0,0.176,0.049,0.047,0.046,0.11,0.139,0.158,1.0,0.086,0.176,0.011,0.144,1.0,-0.829,0.971,0.181,,0.837,0.809,0.474,0.0,5.0,5.0,NF
55,Eritrea,1997,42976,ERI,2024.0,0.069,0.009,0.008,0.022,0.1,0.024,0.023,1.0,0.0,0.025,0.028,0.092,0.0,-1.676,0.977,0.048,,0.728,0.737,0.159,1.0,2.0,3.0,NF
56,Estonia,2003,70192,EST,2024.0,0.893,0.848,0.625,0.784,0.805,0.969,0.908,1.0,0.961,0.979,0.969,0.955,3.0,1.826,0.022,0.963,,0.025,0.037,0.942,38.0,57.0,95.0,F
57,Ethiopia,1994,87381,ETH,2024.0,0.26,0.093,0.131,0.186,0.163,0.245,0.363,1.0,0.339,0.324,0.186,0.088,1.0,-0.274,0.792,0.286,,0.52,0.655,0.684,10.0,10.0,20.0,NF
58,Fiji,2013,276068,FJI,2024.0,0.514,0.41,0.268,0.422,0.377,0.747,0.721,1.0,0.54,0.805,0.828,0.71,2.0,0.78,0.195,0.769,,0.289,0.18,0.653,27.0,39.0,66.0,PF
